"Year";"Commune";"Visitors' country of residence - total Arrivals";"Visitors' country of residence - total Overnight stays"
"2023";"La Chaux-de-Fonds";17067;29221
"2023";"Neuchâtel";94045;158176
"2023";"Laténa";...;...
"2023";"Genève";1025412;2252671
"2023";"Lancy";54246;107751
"2023";"Meyrin";390383;667886
"2023";"Vernier";105097;195324
"2023";"Delémont";24085;43673
"2023";"Saignelégier";14422;25232
"2023";"Porrentruy";8292;13293
"2023";"Clos du Doubs";6883;10570
"2023";"Moutier (JU)";...;...
"2024";"Kloten";346810;486772
"2024";"Opfikon";512184;800863
"2024";"Dübendorf";22710;43093
"2024";"Uster";15361;46596
"2024";"Winterthur";119697;221329
"2024";"Zürich";2196753;4045928
"2024";"Wädenswil";9127;15775
"2024";"Horgen";16049;29804
"2024";"Langenthal";23261;35349
"2024";"Bern";637901;1100930
"2024";"Köniz";8131;18495
"2024";"Biel/Bienne";71048;116323
"2024";"Burgdorf";21899;32345
"2024";"Adelboden";84726;203384
"2024";"Aeschi bei Spiez";17203;24732
"2024";"Kandersteg";65409;125652
"2024";"Reichenbach im Kandertal";20191;39238
"2024";"Beatenberg";63731;142409
"2024";"Brienz (BE)";63483;116470
"2024";"Grindelwald";382618;826466
"2024";"Interlaken";421727;867786
"2024";"Lauterbrunnen";198359;500405
"2024";"Matten bei Interlaken";26586;61388
"2024";"Unterseen";86967;191477
"2024";"Wilderswil";59445;124719
"2024";"Moutier (BE)";1760;3176
"2024";"Diemtigen";4479;10192
"2024";"Spiez";79451;147878
"2024";"Hasliberg";38613;88768
"2024";"Innertkirchen";17296;27430
"2024";"Meiringen";49364;84269
"2024";"Lenk";60229;124090
"2024";"Saanen";135382;339100
"2024";"Langnau im Emmental";7149;10851
"2024";"Schangnau";11876;15526
"2024";"Sigriswil";50976;113031
