name,countries,regions,localities,status,has_downhill,has_nordic,downhill_distance_km,nordic_distance_km,vertical_m,min_elevation_m,max_elevation_m,lift_count,surface_lifts_count,run_convention,wikidata_id,websites,openskimap,id,geometry,lat,lng,sources
,Italy,Bolzano/Bozen,,operating,no,yes,,3,49,1439,1488,,,europe,,,https://openskimap.org/?obj=01d978bf-edf9-4451-8ac4-41ad676bc331,01d978bf-edf9-4451-8ac4-41ad676bc331,Point,46.578137,11.619315,
Madarao Kogen Toyota (斑尾高原 豊田スキー場),Japan,Nagano Prefecture,,abandoned,yes,no,,,,,,,,japan,,https://web.archive.org/web/20130824074106/http://www3.ocn.ne.jp/~madarao/mt-ski/,https://openskimap.org/?obj=01f21da745fc0c64d5b7480761e42bf046ff97d6,01f21da745fc0c64d5b7480761e42bf046ff97d6,Point,36.827386,138.294685,https://www.skimap.org/SkiAreas/view/1630
,Estonia,Viljandi,Viljandi,operating,yes,no,1,,34,46,79,1,1,europe,,,https://openskimap.org/?obj=01f6f88c-cf7f-4bdb-8ebc-8441f1f892c4,01f6f88c-cf7f-4bdb-8ebc-8441f1f892c4,Point,58.353553,25.593883,
,Germany,Baden-Württemberg,"Isny im Allgäu;Leutkirch im Allgäu",operating,no,yes,,8,27,698,725,,,europe,,,https://openskimap.org/?obj=01fc269b-e92a-4755-a262-6daab5bd7510,01fc269b-e92a-4755-a262-6daab5bd7510,Point,47.741128,10.069031,
Lyžařský areál Kocianka,Czechia,Moravian-Silesian,,operating,yes,no,0,,53,658,712,2,2,europe,,https://www.kocianka.com/,https://openskimap.org/?obj=02001c6650bac0a9b5d4c2bf9ce0eed3c32461cf,02001c6650bac0a9b5d4c2bf9ce0eed3c32461cf,Point,49.464854,18.341776,https://www.openstreetmap.org/relation/4606065 https://www.skimap.org/SkiAreas/view/14675
,Russia,Kirov,,operating,no,yes,,4,29,134,163,,,europe,,,https://openskimap.org/?obj=02048a04-3a44-47f2-9594-82832487397d,02048a04-3a44-47f2-9594-82832487397d,Point,58.681888,49.824709,
Pian di Sole,Italy,Verbano-Cusio-Ossola,,abandoned,yes,no,,,,,,,,europe,,,https://openskimap.org/?obj=0205fce4def1bbde4d735a30b3dd08d805634f28,0205fce4def1bbde4d735a30b3dd08d805634f28,Point,45.984912,8.600210,https://www.skimap.org/SkiAreas/view/15198
,Finland,Tavastia Proper,Jokioinen,operating,no,yes,,8,27,103,130,,,europe,,,https://openskimap.org/?obj=02089155-1fd8-4e31-b48a-0faa8d08d617,02089155-1fd8-4e31-b48a-0faa8d08d617,Point,60.800915,23.501362,
Serena Ski,Finland,Uusimaa,Espoo,operating,yes,no,2,,53,45,98,5,5,europe,,https://serena.fi/,https://openskimap.org/?obj=02096f93055342140d3ad2c5737f7a0b019c47c5,02096f93055342140d3ad2c5737f7a0b019c47c5,Polygon,60.325990,24.736712,https://www.openstreetmap.org/way/263245245 https://www.skimap.org/SkiAreas/view/14528
,United States,Utah,,operating,no,yes,,9,172,2504,2677,,,north_america,,,https://openskimap.org/?obj=02105349-a343-45be-aed3-d49435d552c7,02105349-a343-45be-aed3-d49435d552c7,Point,40.610757,-111.587331,
