"Year";"Month";"Commune";"Establishments";"Rooms";"Beds";"Arrivals";"Overnight stays";"Room nights";"Room occupancy";"Bed occupancy"
"2021";"Total of the year";"Kandersteg";16.00;351.00;690.00;56526.00;106773.00;62378.00;49.98;43.45
"2021";"Total of the year";"Reichenbach im Kandertal";8.00;157.00;406.00;14073.00;33485.00;19153.00;34.36;23.42
"2021";"Total of the year";"Beatenberg";11.00;272.00;686.00;41080.00;99645.00;49053.00;51.93;41.95
"2021";"Total of the year";"Brienz (BE)";12.00;277.00;605.00;49798.00;85784.00;48285.00;50.46;41.17
"2021";"Total of the year";"Grindelwald";45.00;1492.00;3266.00;222128.00;481566.00;253496.00;49.90;43.42
"2021";"Total of the year";"Interlaken";26.00;1416.00;2931.00;168510.00;374682.00;214745.00;43.51;36.72
"2021";"Total of the year";"Lauterbrunnen";41.00;1317.00;2734.00;108823.00;259940.00;140771.00;32.55;28.92
"2021";"Total of the year";"Matten bei Interlaken";6.00;195.00;385.00;15180.00;42146.00;23367.00;33.90;31.15
"2021";"Total of the year";"Unterseen";10.00;292.00;648.00;37800.00;77836.00;42218.00;41.50;34.47
"2021";"Total of the year";"Wilderswil";10.00;322.00;680.00;24810.00;54418.00;32546.00;28.34;22.45
"2021";"Total of the year";"Moutier (BE)";4.00;44.00;78.00;1699.00;2878.00;2122.00;13.66;10.49
"2021";"Total of the year";"Diemtigen";7.00;91.00;230.00;4752.00;11699.00;6124.00;22.39;16.34
"2021";"Total of the year";"Spiez";13.00;418.00;725.00;75288.00;139036.00;86912.00;58.02;53.52
"2021";"Total of the year";"Hasliberg";10.00;332.00;666.00;27991.00;72339.00;39577.00;34.85;31.86
"2021";"Total of the year";"Innertkirchen";8.00;138.00;326.00;14795.00;23538.00;13719.00;31.81;23.21
"2021";"Total of the year";"Meiringen";9.00;225.00;547.00;25627.00;43471.00;24389.00;31.63;22.97
"2021";"Total of the year";"Lenk";14.00;419.00;804.00;57429.00;124946.00;72934.00;52.39;46.37
"2021";"Total of the year";"Saanen";30.00;1124.00;2345.00;165170.00;388040.00;221862.00;58.89;49.55
"2021";"Total of the year";"Langnau im Emmental";4.00;47.00;92.00;6075.00;9150.00;6181.00;36.18;27.37
"2021";"Total of the year";"Schangnau";4.00;59.00;118.00;13988.00;18049.00;10720.00;51.91;43.42
"2021";"Total of the year";"Sigriswil";9.00;403.00;664.00;57673.00;166768.00;107016.00;73.95;70.11
"2021";"Total of the year";"Thun";15.00;435.00;716.00;63410.00;106736.00;73715.00;47.92;42.04
"2021";"Total of the year";"Herzogenbuchsee";4.00;44.00;70.00;2064.00;5741.00;4809.00;31.53;24.04
"2021";"Total of the year";"Emmen";5.00;289.00;398.00;8990.00;20578.00;17060.00;16.28;14.29
"2021";"Total of the year";"Kriens";4.00;205.00;442.00;36446.00;61540.00;32482.00;45.26;39.73
"2021";"Total of the year";"Luzern";49.00;2746.00;5357.00;340963.00;619486.00;380363.00;39.05;32.58
"2021";"Total of the year";"Meggen";4.00;42.00;76.00;6105.00;9749.00;5454.00;35.79;35.37
"2021";"Total of the year";"Vitznau";7.00;236.00;468.00;37245.00;70820.00;43365.00;53.03;43.45
"2021";"Total of the year";"Weggis";23.00;884.00;1567.00;108767.00;228893.00;140772.00;45.18;41.51
